Date,CA - ETo (in),CA - Precip (in),CA - Sol Rad (Ly/day),CA - Avg Vap Pres (mBars),CA - Max Air Temp (F),CA - Min Air Temp (F),CA - Avg Air Temp (F),CA - Max Rel Hum (%),CA - Min Rel Hum (%),CA - Avg Rel Hum (%),CA - Dew Point (F),CA - Avg Wind Speed (mph),CA - Wind Run (miles),CA - Avg Soil Temp (F)
2010-06-14,0.2975,0.0,708.0,11.5625,96.875,57.8,78.6,69.375,18.25,35.25,47.95,4.3,103.3,71.475
2010-06-15,0.305,0.0,717.875,10.1,89.1125,56.3875,72.9,73.375,18.875,37.5,44.45,6.325,151.75,71.6875
2010-06-16,0.3025,0.0,727.875,8.6125,83.1875,50.6,68.0,74.125,15.5,36.875,40.2125,7.025,168.8,70.55
2010-06-17,0.28,0.0,725.125,8.725,87.925,48.3375,70.3625,69.375,16.625,34.625,40.4,4.425,105.95,70.2125
2010-06-18,0.2825,0.0,715.625,9.575,85.1,51.2625,68.75,71.625,23.625,40.75,43.175,6.1875,148.5875,70.7125
2010-06-19,0.255,0.0,714.375,10.0875,79.5375,48.3875,64.5125,81.625,28.25,48.875,44.625,5.6125,134.425,69.9625
2010-06-20,0.25875,0.0,720.25,10.5125,81.5625,47.825,66.0375,81.875,26.5,48.25,45.625,5.375,129.1625,69.7125
2010-06-21,0.27875,0.0,706.0,11.075,86.725,51.55,71.1875,80.625,22.625,42.625,47.025,5.0125,119.8125,70.2
2010-06-22,0.28375,0.0,705.0,11.671428571428573,91.77142857142856,54.44285714285714,75.22857142857143,76.57142857142857,21.714285714285715,39.42857142857143,48.4,4.314285714285714,103.28571428571428,71.08571428571427
2010-06-23,0.3,0.0,692.5714285714286,12.142857142857142,94.25714285714284,59.785714285714285,78.01428571428572,72.71428571428571,20.142857142857142,37.714285714285715,49.457142857142856,5.314285714285715,127.81428571428572,72.4
2010-06-24,0.2775,0.0457142857142857,592.1428571428571,11.242857142857144,89.35714285714286,58.51428571428572,74.51428571428572,65.28571428571429,23.142857142857142,39.57142857142857,47.4,6.757142857142857,162.81428571428572,72.6
2010-06-25,0.25375,0.0,685.5,14.4,86.4875,59.714285714285715,74.0125,75.375,34.0,50.625,54.1875,6.275,150.5625,73.125
2010-06-26,0.2725,0.0,690.25,15.9375,91.35,58.25,75.9,79.5,33.25,52.125,56.9875,4.6375,111.075,73.6875
2010-06-27,0.28875,0.0,682.75,18.35,97.8875,64.3625,82.175,78.25,31.375,47.42857142857143,59.8,4.1125,98.4375,75.375
2010-06-28,0.3175,0.0,713.75,17.7625,102.5375,68.12857142857142,87.5875,77.5,23.625,39.0,58.65714285714285,5.7875,138.65,77.025
2010-06-29,0.33125,0.0,695.25,14.45,96.525,64.3125,81.225,71.125,23.75,39.75,54.125,6.8375,163.7625,76.925
2010-06-30,0.32125,0.0,753.875,10.8375,92.925,61.142857142857146,77.5625,63.75,17.5,33.5,46.0875,6.55,157.2125,75.925
2010-07-01,0.2925,0.0,729.375,10.775,88.975,53.8125,72.3625,71.0,20.625,40.25,46.2625,5.8125,139.35,74.825
2010-07-02,0.2825,0.0,714.75,12.725,88.4625,54.675,73.075,73.0,29.5,46.0,50.8375,5.375,128.9125,74.5
2010-07-03,0.30625,0.0,717.625,12.7875,91.3625,57.525,75.3375,78.125,22.0,42.75,50.8125,6.025,144.55,74.525
2010-07-04,0.29875,0.0,726.25,12.5125,94.3375,56.0375,76.875,75.0,19.75,39.875,50.1625,4.725,113.4625,74.425
2010-07-05,0.305,0.0,708.375,13.875,96.225,58.625,78.6875,77.375,22.75,42.125,53.0375,5.1875,124.4875,74.925
2010-07-06,0.29,0.0,700.5,14.0875,91.4125,59.225,75.35,77.75,28.0,47.875,53.6,5.875,140.8125,75.125
2010-07-07,0.28125,0.0,697.25,14.025,91.175,57.525,74.375,80.5,26.375,48.75,53.4125,5.3875,129.6875,74.95
