Unnamed: 0,Date,Total Production,Year,Translated Predicted Production,Beginning Stock,Total Predicted Supply,Actual Supply,Predicted Demand,Actual Demand,Predicted Ending Stock,Actual Ending Stock,Predicted Close Price,Price
76,2016-05-31,173376.0,2016,974.055296684276,498.63726454765015,1472.6925612319262,1392.2720482797622,969.562744550166,972.122236807625,503.1298166817601,420.1498114721372,118.53040754958474,152.55
77,2016-06-30,157402.0,2016,914.5577798873904,498.63726454765015,1413.1950444350405,1392.2720482797622,969.562744550166,972.122236807625,443.6322998848743,420.1498114721372,125.13780043776585,177.15
78,2016-07-31,161460.0,2016,929.6723988407998,498.63726454765015,1428.30966338845,1392.2720482797622,969.562744550166,972.122236807625,458.7469188382838,420.1498114721372,123.29687843170122,180.85
83,2016-12-31,175411.0,2017,981.6349540450914,420.1498114721372,1401.7847655172286,1261.2911185351588,886.8421411772947,887.618927238502,514.9426243399339,373.6721912966568,117.40022462739452,198.1
84,2017-01-31,174190.0,2017,977.0871596286022,420.1498114721372,1397.2369711007395,1261.2911185351588,886.8421411772947,887.618927238502,510.3948299234448,373.6721912966568,117.82913862625632,172.9
85,2017-02-28,187288.0,2017,1025.8725906418497,420.1498114721372,1446.0224021139866,1261.2911185351588,886.8421411772947,887.618927238502,559.1802609366919,373.6721912966568,113.5920597118848,164.8
86,2017-03-31,178425.0,2017,992.8610411632718,420.1498114721372,1413.010852635409,1261.2911185351588,886.8421411772947,887.618927238502,526.1687114581143,373.6721912966568,116.37320426987888,157.0
87,2017-04-30,197002.0,2017,1062.053815016768,420.1498114721372,1482.2036264889052,1261.2911185351588,886.8421411772947,887.618927238502,595.3614853116105,373.6721912966568,110.89813660083465,161.25
88,2017-05-31,195606.0,2017,1056.8542073137223,420.1498114721372,1477.0040187858594,1261.2911185351588,886.8421411772947,887.618927238502,590.1618776085647,373.6721912966568,111.26495676043466,133.55
89,2017-06-30,164632.0,2017,941.4869802405568,420.1498114721372,1361.636791712694,1261.2911185351588,886.8421411772947,887.618927238502,474.79465053539934,373.6721912966568,121.47059078038684,129.85
90,2017-07-31,147561.0,2017,877.9035252987993,420.1498114721372,1298.0533367709363,1261.2911185351588,886.8421411772947,887.618927238502,411.2111955936418,373.6721912966568,129.54308756137368,131.65
95,2017-12-31,149376.0,2018,884.663760242229,373.6721578301845,1258.3359180724135,1220.0609283074812,817.1755111564179,856.4221294180893,441.1604069159956,363.6387988893918,125.45087261985309,136.0
96,2018-01-31,152230.0,2018,895.2939037841292,373.6721578301845,1268.9660616143135,1220.0609283074812,817.1755111564179,856.4221294180893,451.7905504578959,363.6387988893918,124.12884672279472,148.7
97,2018-02-28,154121.0,2018,902.337211926292,373.6721578301845,1276.0093697564766,1220.0609283074812,817.1755111564179,856.4221294180893,458.8338586000588,363.6387988893918,123.286640214644,143.4
98,2018-03-31,138720.0,2018,844.9739180619601,373.6721578301845,1218.6460758921446,1220.0609283074812,817.1755111564179,856.4221294180893,401.4705647357267,363.6387988893918,131.00561139224942,141.1
99,2018-04-30,168390.0,2018,955.4842049884408,373.6721578301845,1329.1563628186254,1220.0609283074812,817.1755111564179,856.4221294180893,511.9808516622076,363.6387988893918,117.67869158331624,154.95
100,2018-05-31,135765.0,2018,833.9675851375332,373.6721578301845,1207.6397429677177,1220.0609283074812,817.1755111564179,856.4221294180893,390.4642318112998,363.6387988893918,132.74598378296176,161.8
101,2018-06-30,115297.0,2018,757.731503141874,373.6721578301845,1131.4036609720586,1220.0609283074812,817.1755111564179,856.4221294180893,314.2281498156407,363.6387988893918,148.14768622800366,159.55
102,2018-07-31,108715.0,2018,733.2158742726426,373.6721578301845,1106.888032102827,1220.0609283074812,817.1755111564179,856.4221294180893,289.7125209464092,363.6387988893918,154.82290017828126,167.4
107,2018-12-31,168929.0,2019,957.4917899110352,363.6387988893918,1321.130588800427,1310.1224639235395,789.6876570985364,785.9332601952373,531.4429317018905,524.1892037283025,115.90567251651588,125.15
108,2019-01-31,157914.0,2019,916.4647993314873,363.6387988893918,1280.1035982208791,1310.1224639235395,789.6876570985364,785.9332601952373,490.4159411223427,524.1892037283025,119.80763377578312,120.1
109,2019-02-28,156911.0,2019,912.72897803768,363.6387988893918,1276.367776927072,1310.1224639235395,789.6876570985364,785.9332601952373,486.68011982853545,524.1892037283025,120.19561652279118,114.3
110,2019-03-31,159370.0,2019,921.8878858756382,363.6387988893918,1285.52668476503,1310.1224639235395,789.6876570985364,785.9332601952373,495.8390276664936,524.1892037283025,119.25482394880116,123.6
111,2019-04-30,172520.0,2019,970.8669985511764,363.6387988893918,1334.5057974405684,1310.1224639235395,789.6876570985364,785.9332601952373,544.8181403420319,524.1892037283025,114.7606161231506,94.8
112,2019-05-31,145860.0,2019,871.5679001534692,363.6387988893918,1235.206699042861,1310.1224639235395,789.6876570985364,785.9332601952373,445.5190419443245,524.1892037283025,124.90117708339548,108.4
113,2019-06-30,143315.0,2019,862.0886726432605,363.6387988893918,1225.7274715326523,1310.1224639235395,789.6876570985364,785.9332601952373,436.0398144341159,524.1892037283025,126.1107026007064,98.3
114,2019-07-31,141661.0,2019,855.9281059234627,363.6387988893918,1219.5669048128543,1310.1224639235395,789.6876570985364,785.9332601952373,429.8792477143181,524.1892037283025,126.92537413997756,103.45
119,2019-12-31,154099.0,2020,902.2552696845536,524.1892037283025,1426.444473412856,1234.32688115155,741.6391052406782,825.8418383788176,684.8053681721779,408.48504277273247,105.46016096764706,97.2
120,2020-01-31,162020.0,2020,931.7582013577808,524.1892037283025,1455.947405086083,1234.32688115155,741.6391052406782,825.8418383788176,714.3082998454051,408.48504277273247,103.9651415744466,95.95
121,2020-02-29,181226.0,2020,1003.293778395529,524.1892037283025,1527.482982123831,1234.32688115155,741.6391052406782,825.8418383788176,785.8438768831531,408.48504277273247,100.8062507230684,101.85
122,2020-03-31,179779.0,2020,997.904213677544,524.1892037283025,1522.0934174058464,1234.32688115155,741.6391052406782,825.8418383788176,780.4543121651682,408.48504277273247,101.02407407586246,120.2
123,2020-04-30,160082.0,2020,924.5398347900856,524.1892037283025,1448.729038518388,1234.32688115155,741.6391052406782,825.8418383788176,707.0899332777099,408.48504277273247,104.31939420800504,108.3
124,2020-05-31,144085.0,2020,864.9566511041095,524.1892037283025,1389.145854832412,1234.32688115155,741.6391052406782,825.8418383788176,647.5067495917338,408.48504277273247,107.54520771599604,124.05
125,2020-06-30,152358.0,2020,895.7706586451534,524.1892037283025,1419.959862373456,1234.32688115155,741.6391052406782,825.8418383788176,678.3207571327778,408.48504277273247,105.8061928964392,127.3
126,2020-07-31,154994.0,2020,905.5888290643716,524.1892037283025,1429.778032792674,1234.32688115155,741.6391052406782,825.8418383788176,688.1389275519957,408.48504277273247,105.28481353220616,121.75
131,2020-12-31,153379.0,2021,899.5735235912922,408.48504277273247,1308.0585663640247,1134.7133169523297,792.1521182914427,799.7467218410536,515.9064480725821,334.96659511127586,117.31029509746978,123.25
132,2021-01-31,141273.0,2021,854.4829427509829,408.48504277273247,1262.9679855237157,1134.7133169523297,792.1521182914427,799.7467218410536,470.8158672322728,334.96659511127586,121.91178303965717,108.1
133,2021-02-28,163627.0,2021,937.7437096520464,408.48504277273247,1346.2287524247788,1134.7133169523297,792.1521182914427,799.7467218410536,554.0766341333361,334.96659511127586,114.0003713384715,108.6
134,2021-03-31,167407.0,2021,951.8228766416688,408.48504277273247,1360.307919414401,1134.7133169523297,792.1521182914427,799.7467218410536,568.1558011229585,334.96659511127586,112.89177310045538,110.6
135,2021-04-30,169971.0,2021,961.3728724515609,408.48504277273247,1369.8579152242933,1134.7133169523297,792.1521182914427,799.7467218410536,577.7057969328506,334.96659511127586,112.170560151622,109.55
136,2021-05-31,148962.0,2021,883.1217562386038,408.48504277273247,1291.6067990113363,1134.7133169523297,792.1521182914427,799.7467218410536,499.4546807198936,334.96659511127586,118.8929273839054,118.65
137,2021-06-30,146706.0,2021,874.7189518130514,408.48504277273247,1283.203994585784,1134.7133169523297,792.1521182914427,799.7467218410536,491.0518762943413,334.96659511127586,119.74217688124143,118.55
138,2021-07-31,119499.0,2021,773.3824713139358,408.48504277273247,1181.8675140866685,1134.7133169523297,792.1521182914427,799.7467218410536,389.7153957952256,334.96659511127586,132.8679648448121,132.95
143,2021-12-31,135805.0,2022,834.1165710316031,334.96659511127586,1169.083166142879,993.0943141945256,817.6540684508525,775.215,351.4290976920265,217.8796196302958,139.79731649392858,146.3
144,2022-01-31,140721.0,2022,852.4269374128158,334.96659511127586,1187.3935325240918,993.0943141945256,817.6540684508525,775.215,369.7394640732393,217.8796196302958,136.30432108424384,147.65
145,2022-02-28,161738.0,2022,930.7078508045868,334.96659511127586,1265.6744459158626,993.0943141945256,817.6540684508525,775.215,448.0203774650101,217.8796196302958,124.59054778397244,145.95
146,2022-03-31,177930.0,2022,991.0173407241546,334.96659511127586,1325.9839358354304,993.0943141945256,817.6540684508525,775.215,508.32986738457794,217.8796196302958,118.02642395433551,151.95
147,2022-04-30,137540.0,2022,840.5788341868929,334.96659511127586,1175.5454292981688,993.0943141945256,817.6540684508525,775.215,357.89136084731626,217.8796196302958,138.52372481727053,182.4
148,2022-05-31,134716.0,2022,830.0604300655453,334.96659511127586,1165.027025176821,993.0943141945256,817.6540684508525,775.215,347.3729567259686,217.8796196302958,140.6209117238177,177.35
149,2022-06-30,132762.0,2022,822.782469140222,334.96659511127586,1157.749064251498,993.0943141945256,817.6540684508525,775.215,340.0949958006454,217.8796196302958,142.1479431607581,179.65
150,2022-07-31,119439.0,2022,773.1589924728306,334.96659511127586,1108.1255875841066,993.0943141945256,817.6540684508525,775.215,290.4715191332541,217.8796196302958,154.59933486500904,170.1
155,2022-12-31,136743.0,2023,837.6102902475466,217.8796196302958,1055.4899098778424,900.054,749.6410150278064,710.8,305.848894850036,189.255,150.30885113530508,206.4
156,2023-01-31,136133.0,2023,835.3382553629779,217.8796196302958,1053.2178749932737,900.054,749.6410150278064,710.8,303.5768599654673,189.255,150.91541134947556,219.2
157,2023-02-28,137920.0,2023,841.9942001805586,217.8796196302958,1059.8738198108545,900.054,749.6410150278064,710.8,310.2328047830481,189.255,149.1635979890986,279.35
158,2023-03-31,115719.0,2023,759.3033043243133,217.8796196302958,977.1829239546092,900.054,749.6410150278064,710.8,227.5419089268028,189.255,178.2000190719035,269.5
159,2023-04-30,139069.0,2023,846.2738199877216,217.8796196302958,1064.1534396180173,900.054,749.6410150278064,710.8,314.5124245902109,189.255,148.0763861616121,271.9
160,2023-05-31,97521.0,2023,691.5221718171312,217.8796196302958,909.401791447427,900.054,749.6410150278064,710.8,159.76077641962058,189.255,224.41808486945263,282.2
161,2023-06-30,92877.0,2023,674.2249095155951,217.8796196302958,892.1045291458909,900.054,749.6410150278064,710.8,142.4635141180845,189.255,243.25622665557825,271.75
162,2023-07-31,99402.0,2023,698.5282334857766,217.8796196302958,916.4078531160724,900.054,749.6410150278064,710.8,166.766838088266,189.255,217.8998710302344,316.2
167,2023-12-31,109131.0,2024,734.7653275709714,189.255,924.0203275709714,892.751,672.9738521059642,724.981,251.04647546500723,167.77,168.00069887744388,320.2
168,2024-01-31,66300.0,2024,575.2349568480831,189.255,764.4899568480831,892.751,672.9738521059642,724.981,91.51610474211896,167.77,340.1186725530225,356.8
169,2024-02-29,65600.0,2024,572.6277037018568,189.255,761.8827037018568,892.751,672.9738521059642,724.981,88.90885159589266,167.77,348.06150092038354,355.85
170,2024-03-31,65800.0,2024,573.3726331722072,189.255,762.6276331722072,892.751,672.9738521059642,724.981,89.65378106624303,167.77,345.7449809407425,373.25
171,2024-04-30,64800.0,2024,569.6479858204552,189.255,758.9029858204552,892.751,672.9738521059642,724.981,85.92913371449106,167.77,357.72922436237104,382.25
172,2024-05-31,63800.0,2024,565.9233384687033,189.255,755.1783384687033,892.751,672.9738521059642,724.981,82.20448636273909,167.77,370.7994688649175,437.2
173,2024-06-30,63860.0,2024,566.1468173098084,189.255,755.4018173098084,892.751,672.9738521059642,724.981,82.42796520384422,167.77,369.9819442895409,434.0
174,2024-07-31,65460.0,2024,572.1062530726115,189.255,761.3612530726115,892.751,672.9738521059642,724.981,88.3874009666473,167.77,349.7062980404855,420.9
